1,[pr-cp-reg-10001 - aris-nginx-ingress] - ARIS_nginx_upstream_latency_critical - Latency to the upstream service management/aris-kube-prometheus-stack-prometheus has been critically high (more than 30 seconds) for the last 3 minutes. Service is unresponsive and should be restarted.
3,[pr-cp-reg-10043 - aris-kube-prometheus-stack] - ARIS_host_inodes_will_fill_in24_hours - Filesystem is predicted to run out of inodes within the next 24 hours at current write rate.
3,[pr-cp-reg-10039 - aris-spot] - NodeNetworkTransmitErrs - <IP_ADDRESS>:<PORT> interface /dev/nvme0n1 has encountered  transmit errors in the last two minutes.
3,[pr-cp-reg-10002 - aris-sealed-secrets] - NodeClockSkewDetected - Clock on <IP_ADDRESS>:<PORT> is out of sync by more than 300s. Ensure NTP is configured correctly on this host.
3,[pr-cp-reg-10022 - aris-nginx-ingress] - ARIS_elasticsearch_process_cpu_error - Elasticsearch process CPU usage on the node ip-10-0-139-113.eu-central-1.compute.internal in aris-nginx-ingress/pr-cp-reg-10022 cluster is .
3,[pr-cp-reg-10024 - aris-keda] - NodeClockNotSynchronising - Clock on <IP_ADDRESS>:<PORT> is not synchronising. Ensure NTP is configured on this host.
3,"[pr-cp-reg-10003 - aris-keda] - NodeNetworkInterfaceFlapping - Network interface ""/dev/nvme0n1"" changing its up status often on node-exporter aris-keda/keda-operator-metrics-apiserver-7c746565cb-t6krb"
3,[pr-cp-reg-10025 - aris-cluster-autoscaler] - NodeClockSkewDetected - Clock on <IP_ADDRESS>:<PORT> is out of sync by more than 300s. Ensure NTP is configured correctly on this host.
1,[pr-cp-reg-10011 - aris-cluster-autoscaler] - ARIS_k8s_node_disk_pressure - ip-10-0-139-113.eu-central-1.compute.internal has DiskPressure condition.
1,[pr-cp-reg-10024 - pr-customer-env-spark] - ARIS_k8s_cluster_out_of_capacity - ip-10-0-147-93.eu-central-1.compute.internal is out of capacity. Consider adding additional worker nodes.
3,[pr-cp-reg-10014 - aris-cluster-autoscaler] - NodeFilesystemSpaceFillingUp - Filesystem on /dev/nvme0n1 at <IP_ADDRESS>:<PORT> has only % available space left and is filling up.
4,[pr-cp-reg-10001 - pr-customer-env] - CPUThrottlingHigh -  throttling of CPU in namespace pr-customer-env for container log-backup in pod collaboration-0.
3,[pr-cp-reg-10025 - basic-application-bootstrapping] - NodeTextFileCollectorScrapeError - Node Exporter text file collector failed to scrape.
4,[pr-cp-reg-10006 - aris-cluster-autoscaler] - ARIS_k8s_cronjob_arbitrary_failed - Job aris-cluster-autoscaler/exported_job failed to complete.
3,[pr-cp-reg-10012 - aris-kube-prometheus-stack] - ARIS_elasticsearch_cluster_status_Is_YELLOW - Cluster aris-kube-prometheus-stack/pr-cp-reg-10012 health status has been YELLOW for at least 20 minutes.
1,[pr-cp-reg-10030 - aris-keda] - ARIS_k8s_node_memory_pressure - ip-10-0-139-113.eu-central-1.compute.internal has MemoryPressure condition.
3,"[pr-cp-reg-10006 - aris-sealed-secrets] - NodeNetworkInterfaceFlapping - Network interface ""/dev/nvme0n1"" changing its up status often on node-exporter aris-sealed-secrets/aris-kube-prometheus-stack-kube-state-metrics-785d575975-s2j2k"
1,[pr-cp-reg-10005 - aris-kube-prometheus-stack] - ARIS_postgresql_down - The postgres pod of namespace aris-kube-prometheus-stack is down.
3,[pr-cp-reg-10023 - aris-kube-prometheus-stack] - NodeHighNumberConntrackEntriesUsed -  of conntrack entries are used.
3,[pr-cp-reg-10001 - aris-nginx-ingress] - ARIS_nginx_upstream_latency_high - Latency to the upstream service aris-nginx-ingress/aris-kube-prometheus-stack-prometheus has been high (more than 10 seconds) for the last 3 minutes. Service might become unresponsive shortly.
3,[pr-cp-reg-10023 - pr-customer-env] - NodeTextFileCollectorScrapeError - Node Exporter text file collector failed to scrape.
3,[pr-cp-reg-10043 - aris-cluster-autoscaler] - ARIS_elasticsearch_process_cpu_error - Elasticsearch process CPU usage on the node ip-10-0-139-113.eu-central-1.compute.internal in aris-cluster-autoscaler/pr-cp-reg-10043 cluster is .
3,[pr-cp-reg-10039 - kube-system] - NodeTextFileCollectorScrapeError - Node Exporter text file collector failed to scrape.
3,[pr-cp-reg-10047 - kube-public] - KubeVersionMismatch - There are  different semantic versions of Kubernetes components running.
3,[pr-cp-reg-10048 - aris-sealed-secrets] - ARIS_host_file_descriptor_limit_approaching - File descriptors limit at <IP_ADDRESS>:<PORT> is currently at %.
3,[pr-cp-reg-10006 - pr-customer-env] - NodeNetworkTransmitErrs - <IP_ADDRESS>:<PORT> interface /dev/nvme0n1 has encountered  transmit errors in the last two minutes.
